,Campaign Name,Ad Set Name,Ad Name,Age,Gender,Results,Reach,Impressions,Cost per Result,Amount Spent (INR),Frequency,Result Rate,Clicks (All),CTR (All),"CPM (Cost per 1,000 Impressions)",CPC
0,UCMAS 2nd Ad Demo Class 19th September,"UCMAS Demo Class, Ghana , W 24-35, Parents + Interests",Image Ad,25-34,female,34.0,14232,35351,151.79647058824,5161.08,2 to 3,0.096178325931374,640,1.81041555,145.99530423,8.0641875
1,UCMAS Demo Class 19th September,"UCMAS Demo Class, Ghana , W 24-35, Parents + Interests",Testimonial Video Ad,25-34,female,36.0,16212,34585,132.17933655143,4758.4561158514,2 to 3,0.10409136909064999,680,1.96617031,137.58728107,6.997729582134411
2,UCMAS Online Classes Ghana 24th Sept 2020,W + Parents + Intersts,Video,25-34,female,43.0,19025,41113,92.92567902493299,3995.8041980721,2 to 3,0.1045897891178,733,1.78289106,97.19077173,5.4513017709032745
3,UCMAS Online Classes Ghana 01st Oct 2020,W + Parents + Intersts,Image,25-34,female,26.0,18929,40347,129.1548406072,3358.0258557873,2 to 3,0.064440974545815,727,1.80186879,83.22863796,4.6190176833387895
4,UCMAS Online Classes Ghana 24th Sept 2020,W + Parents + Intersts,Video,35-44,female,20.0,5821,14979,92.50301131393,1850.0602262785999,2 to 3,0.13352026169971,351,2.34328059,123.51026279,5.270826855494587
5,UCMAS Online Classes Ghana 01st Oct 2020,W + Parents + Intersts,Image,35-44,female,20.0,6232,16015,84.937159866095,1698.7431973219,2 to 3,0.12488292226038,375,2.34155479,106.07200733,4.5299818595250665
6,UCMAS 2nd Ad Demo Class 19th September,"UCMAS Demo Class, Ghana , W 24-35, Parents + Interests",Image Ad,35-44,female,8.0,1116,3119,70.37125,562.97,2 to 3,0.25649246553382,77,2.46873998,180.49695415,7.311298701298702
7,UCMAS Demo Class 19th September,"UCMAS Demo Class, Ghana , W 24-35, Parents + Interests",Testimonial Video Ad,35-44,female,4.0,1076,2450,99.038043550842,396.15217420337007,2 to 3,0.16326530612245002,63,2.57142857,161.69476498,6.288129749259842
8,UCMAS Demo Class 19th September,"UCMAS Demo Class, Ghana , W 24-35, Parents + Interests",Testimonial Video Ad,18-24,female,2.0,1184,2329,155.78085497261003,311.56170994523,1 to 2,0.08587376556462,53,2.27565479,133.77488619,5.878522829155283
9,UCMAS 2nd Ad Demo Class 19th September,"UCMAS Demo Class, Ghana , W 24-35, Parents + Interests",Image Ad,18-24,female,1.0,948,1956,279.89,279.89,2 to 3,0.051124744376278,39,1.99386503,143.09304703,7.176666666666667
10,UCMAS Online Classes Ghana 01st Oct 2020,W + Parents + Intersts,Image,45-54,female,0.0,208,416,0.0,69.34094689077699,2 to 3,0.0,6,1.44230769,166.68496849,11.556824481796165
11,UCMAS Online Classes Ghana 24th Sept 2020,W + Parents + Intersts,Video,45-54,female,0.0,152,386,0.0,62.305575649257,2 to 3,0.0,6,1.55440415,161.41340842,10.3842626082095
